question_id,topic,difficulty,is_active,question_text,reference_law,reference_book,feedback,image,total_options,correct_option_indexes,option_1_text,option_1_is_correct,option_2_text,option_2_is_correct,option_3_text,option_3_is_correct,option_4_text,option_4_is_correct,option_5_text,option_5_is_correct,option_6_text,option_6_is_correct
11,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Frente a una situación normal,  ¿cual es la forma mas segura de frenar?",Técnica de frenado,,"Frente a una situación normal, la forma más segura de frenar es de manera suave y progresiva. Los pasos ideales son:
Presionar el pedal suavemente al principio para que las luces de freno avisen al vehículo de atrás.
Aumentar la presión gradualmente según sea necesario.
Aflojar la presión justo antes de detenerse por completo para evitar el ""tirón"" final y mantener el control total.
Esto evita el bloqueo de las ruedas, reduce el desgaste de los neumáticos y minimiza el riesgo de ser chocado por alcance.",,4,4,"Frenando fuerte, poniendo la palanca de cambio en neutro y tirando el freno mano justo antes de detenerse",no,"Frenando suavemente, presionando el pedal de embrague  y tirando el freno de mano justo antes de detenerse",no,"Poniendo la palanca de cambio en neutro, frenando fuerte y luego soltando el freno justo antes de detenerse.",no,"Frenando suavemente, luego un poco mas fuerte cuando comienza a detenerse y después aflojando de a poco el freno antes de detenerse",si,,,,
12,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuando usted usaría las luces intermitentes de advertencia de peligro?,Intermitentes y advertencia,,"Las luces intermitentes de advertencia de peligro (o ""luces de emergencia"") deben usarse cuando el vehículo se encuentra en una situación que pueda representar un riesgo para los demás usuarios de la vía. Los casos principales son:
Vehículo detenido o averiado: Cuando el auto queda inmovilizado por una falla técnica o accidente en la calzada o berma.
Advertencia de peligro adelante: Para avisar a los conductores que vienen detrás sobre una obstrucción, accidente o detención brusca del tráfico (por ejemplo, en un taco en la autopista).
Transporte de heridos: En casos de extrema urgencia para señalizar que se traslada a alguien que requiere atención médica inmediata.
Nota importante: No deben usarse para estacionarse en lugares prohibidos o para circular habitualmente en condiciones de lluvia o niebla (para eso están las luces de posición y antiniebla).
",,4,1,Cuando este en pana obstruyendo el transito.,si,Cuando se estacione en doble fila respecto de otro vehículo estacionado junto a la cuneta.,no,Cuando estacione junto a una cuneta en la que hay linea amarilla pintada.,no,Cuando sus señalizadores de viraje no estén funcionando.,no,,,,
13,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Las luces de advertencia de peligro deberían ser usadas:,Uso general de luces,,"Las luces de advertencia de peligro deben ser usadas principalmente para advertir a los demás usuarios de la vía que el vehículo se encuentra temporalmente obstruyendo el tránsito o para avisar de un peligro obstrucción adelante. Los momentos específicos para su uso incluyen:
Cuando el vehículo ha sufrido una falla técnica o avería y se encuentra detenido.
En caso de haber participado en un accidente.
Para advertir a quienes vienen detrás de una detención brusca o peligro inminente en la vía (como el final de un embotellamiento en autopista).
Mientras se es remolcado por otro vehículo.

",,4,2,Cuando estaciona en doble fila respecto a otro vehículo estacionado junto a la cuneta.,no,Para advertir a quienes vienen detrás de un peligro que hay mas adelante.,si,Para advertir a quienes vienen detrás suyo que usted pretende virar.,no,Para advertir su prisa.,no,,,,
14,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Usted esta probando la suspensión de su vehículo, cuando nota que este rebota u oscila al cargarlo en un extremo lateral frontal. ¿Que significa esto?",Carga y remolque,,"Si al cargar el vehículo en un extremo frontal este rebota u oscila más de lo normal, significa que los amortiguadores están en mal estado o desgastados. La función del amortiguador es absorber la energía del resorte y detener el rebote rápidamente. Si el auto continúa oscilando, el sistema ya no tiene la capacidad de estabilizar el vehículo.

Riesgos de una suspensión en mal estado:
Pérdida de control: El vehículo se vuelve inestable en curvas o con viento lateral.
Mayor distancia de frenado: Los neumáticos no mantienen un contacto firme y constante con el pavimento.
Desgaste irregular: Los neumáticos se deforman más rápido (desgaste en forma de ""escamas"").
",,4,4,Neumáticos gastados.,no,Neumáticos poco inflados.,no,volante de dirección no centrado.,no,Amortiguadores gastados.,si,,,,
15,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Por que los neumáticos deben mantenerse a la presión indicada por el fabricante?,Presión e inflado,,"Mantener los neumáticos a la presión indicada por el fabricante es fundamental por tres razones principales:
Seguridad y adherencia: Garantiza que la superficie de contacto entre el neumático y el pavimento sea la óptima, mejorando el frenado y la estabilidad en curvas.
Vida útil del neumático: Evita el desgaste irregular. Una presión baja gasta los bordes, mientras que una presión excesiva gasta el centro de la banda de rodamiento.
Ahorro de combustible: Una presión inferior a la recomendada aumenta la resistencia al rodamiento, lo que obliga al motor a trabajar más y gastar más combustible.
",,4,3,Para que el vehículo se mantenga a la altura correcta sobre la vía.,no,Para evitar quemar el motor,no,Para evitar que el vehículo se roncee.,si,Para evitar que se incline hacia un lado.,no,,,,
16,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿A que se debe un alto consumo de combustible?,Consumo de combustible,,"Un alto consumo de combustible puede deberse a varios factores, tanto técnicos como de hábitos de conducción. Los más comunes son:Factores Mecánicos
Neumáticos con baja presión: Aumentan la resistencia al rodar.
Filtros de aire sucios: Impiden que el motor ""respire"" correctamente, afectando la mezcla.
Bujías en mal estado: Provocan una combustión ineficiente.
Problemas en el sistema de inyección o sensores: Como un sensor de oxígeno defectuoso.
Hábitos de Conducción
Aceleraciones bruscas: Mantener revoluciones muy altas gasta significativamente más.
Exceso de carga: Llevar peso innecesario o usar portaequipajes en el techo (que afecta la aerodinámica).
Uso excesivo del aire acondicionado: Especialmente a bajas velocidades.
Conducir a altas velocidades: La resistencia del aire aumenta exponencialmente al subir la velocidad.
",,4,3,Fallas en el sistema de dirección.,no,Aceleraciones en curva.,no,Frecuentes frenadas y aceleraciones.,si,Conducción en marchas altas.,no,,,,
17,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,La profundidad de los surcos de los neumáticos de un automóvil no debería ser inferior a:,Reventón y adherencia,,"La profundidad de los surcos de los neumáticos de un automóvil no debería ser inferior a 1,6 milímetros. Este es el límite legal mínimo para garantizar una evacuación de agua adecuada y evitar el aquaplaning (cuando el auto flota sobre el agua y pierdes el control). Sin embargo, la mayoría de los expertos recomiendan cambiarlos cuando la profundidad llega a los 3 milímetros para mantener una seguridad óptima.",,4,3,5.0mm.,no,4.0mm.,no,1.6mm.,si,1.0mm.,no,,,,
18,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Uno de sus neumáticos  traseros se revienta mientras usted conduce. ¿Cuales dos cosas debe hacer usted?-  Marque dos.,Reventón y adherencia,,"Si se revienta un neumático trasero mientras conduces, las dos acciones principales que debes realizar son:
Sujetar el volante con firmeza: Es vital mantener la trayectoria recta, ya que el vehículo tenderá a zigzaguear o ""coletear"".
Frenar suavemente: No debes pisar el freno de forma brusca, ya que esto podría causar un trompo o la pérdida total del control. Debes dejar que el vehículo pierda velocidad gradualmente y presionar el pedal con mucha delicadeza solo cuando el auto esté estabilizado.

Dato clave: A diferencia de un reventón delantero (donde el auto tira hacia un lado), en un reventón trasero el peligro principal es la inestabilidad de la parte posterior.",,5,"3, 5",Poner marcha atrás para detener el vehículo.,no,Hacer una señal de detención con el brazo y disminuir las velocidad.,no,Detenerse lentamente al costado de la vía.,si,Detener el vehículo frenando lo mas fuerte que pueda.,no,Girar el volante al mismo  sentido de la patinada.,si,,
19,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuales dos cosas debe hacer usted si se le revienta un neumático delantero?.- Marque dos,Reventón y adherencia,,"Si se revienta un neumático delantero, el vehículo tirará con mucha fuerza hacia el lado de la avería. Las dos cosas que debes hacer son:
Sujetar el volante con firmeza: Debes contrarrestar la fuerza que empuja el auto hacia un lado para mantener la trayectoria recta.
Frenar de forma suave o dejar que el auto reduzca velocidad: Evita frenar a fondo, ya que esto agravaría la pérdida de control. Lo ideal es soltar el acelerador gradualmente y tocar el freno con mucha delicadeza una vez que tengas el control del volante.
Si se revienta un neumático delantero, el vehículo tirará con mucha fuerza hacia el lado de la avería. Las dos cosas que debes hacer son:
Sujetar el volante con firmeza: Debes contrarrestar la fuerza que empuja el auto hacia un lado para mantener la trayectoria recta.
Frenar de forma suave o dejar que el auto reduzca velocidad: Evita frenar a fondo, ya que esto agravaría la pérdida de control. Lo ideal es soltar el acelerador gradualmente y tocar el freno con mucha delicadeza una vez que tengas el control del volante.
",,5,"2, 4",Cambiarse de pista y freno a fondo.,no,Frenar suavemente o dejar que el vehículo siga hasta detenerse.,si,Frenar rápida y firmemente,no,Sostener Firmemente el volante manteniendo la trayectoria.,si,sostener el volante con una mano advirtiendo a los demás.,no,,
20,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Que es lo que usted nunca debería hacer en una bomba de bencina?,Seguridad con combustible,,"En una bomba de bencina (estación de servicio), hay acciones críticas que nunca debes realizar debido al alto riesgo de incendio o explosión por los vapores del combustible:
Fumar o encender fósforos/encendedores: Es la prohibición más importante por el peligro de ignición inmediata.
Dejar el motor encendido: El vehículo debe estar totalmente apagado durante la carga.
Usar el teléfono celular: Las radiaciones o una posible chispa por caída del dispositivo podrían generar un accidente.
",,4,2,Circular,no,Fumar,si,Comer,no,Lavar los parabrisas,no,,,,
21,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Desenganchar el motor del vehículo..,Mantenimiento general,,"Desenganchar el motor del vehículo (conducir en neutro o con el pedal del embrague presionado a fondo por mucho tiempo) es una práctica peligrosa y prohibida por las siguientes razones:
Pérdida del freno motor: El motor ayuda a controlar la velocidad del vehículo. Al desengancharlo, el auto queda libre y aumenta su velocidad rápidamente, especialmente en bajadas.
Recalentamiento de frenos: Al no contar con el apoyo del motor, obligas a los frenos a hacer todo el trabajo, lo que puede causar que se sobrecalienten y dejen de funcionar (fading).
Menor control: En una situación de emergencia, no podrás acelerar rápidamente para esquivar un peligro, ya que el motor no está conectado a las ruedas.
",,4,4,Permite un mejor control.,no,hace mas fácil las maniobras,no,Aumenta el consumo de combustible,no,Reduce el control del conductor,si,,,,
22,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Por que no es bueno desenganchar el motor del vehículo al ir circulando?,Mantenimiento general,,"Desenganchar el motor del vehículo (conducir en neutro o con el pedal del embrague presionado a fondo por mucho tiempo) es una práctica peligrosa y prohibida por las siguientes razones:
Pérdida del freno motor: El motor ayuda a controlar la velocidad del vehículo. Al desengancharlo, el auto queda libre y aumenta su velocidad rápidamente, especialmente en bajadas.
Recalentamiento de frenos: Al no contar con el apoyo del motor, obligas a los frenos a hacer todo el trabajo, lo que puede causar que se sobrecalienten y dejen de funcionar (fading).
Menor control: En una situación de emergencia, no podrás acelerar rápidamente para esquivar un peligro, ya que el motor no está conectado a las ruedas.
",,4,3,Porque ello hace que resbale.,no,Por que el motor se detendrá.,no,Porque no hay frenado de motor.,si,Porque el motor  funciona mas rápido,no,,,,
23,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuales son las dos principales razones por las cuales no se debe desenganchar el motor al ir cuesta abajo?.- Marque dos.,Mantenimiento general,,"Las dos razones principales por las cuales no se debe desenganchar el motor (poner punto neutro o pisar el embrague) al ir cuesta abajo son:
Se pierde el efecto del freno motor: El motor deja de ayudar a retener el vehículo, lo que hace que este tome velocidad más rápidamente y sea más difícil de controlar.
Los frenos se recalientan: Al no tener la ayuda del motor, debes usar los frenos en exceso. Esto puede provocar que se calienten demasiado y pierdan su eficacia (fenómeno conocido como fading), pudiendo fallar por completo.

",,5,"1, 2",Porque tendrá menor control del frenado y dirección.,si,Porque el vehículo agarra velocidad.,si,Por que el consumo de combustible será mayor.,no,Por que se gastan los neumáticos.,no,Se daña el motor.,no,,
24,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Por qué usted no debería conducir pisando el pedal de embrague durante mas tiempo del necesario?,Embrague y transmisión,,"No deberías conducir pisando el pedal de embrague más de lo necesario por dos motivos fundamentales relacionados con el control y la mecánica:
Reduce el control sobre el vehículo: Al mantener el embrague presionado, el motor se desconecta de las ruedas (el auto queda ""desenganchado""). Esto significa que pierdes el beneficio del freno motor, lo cual es especialmente peligroso en curvas o pendientes.
Desgaste prematuro: Mantener el pedal ligeramente presionado (o pisado a fondo innecesariamente) provoca una fricción constante que desgasta rápidamente el disco de embrague y los rodamientos del sistema.
",,4,1,Por que reduce el control de su vehículo.,si,Por aumenta el desgaste de la caja de cambios.,no,Porque aumenta el consumo de combustible.,no,Porque reduce el agarre de los neumáticos.,no,,,,
25,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Para que sirven los seguros de niños de los vehículos?,Niños y retención infantil,,"Los seguros de niños sirven para impedir que las puertas traseras se puedan abrir desde el interior del vehículo. Su función principal es la seguridad, ya que evita que un niño pueda abrir la puerta accidentalmente mientras el auto está en movimiento o detenido, permitiendo que la puerta solo se abra desde el exterior por un adulto.

",,4,2,Aseguran las hebillas de los cinturones de seguridad.,no,Impiden que las puertas puedan abrirse desde el interior.,si,Bloquean las ventanas traseras.,no,Impiden que los asientos se reclinen.,no,,,,
26,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Una baja presión de aire en los neumáticos delanteros..,Presión e inflado,,"Una baja presión de aire en los neumáticos delanteros provoca principalmente que la dirección se vuelva más pesada y difícil de operar. Además, tiene las siguientes consecuencias:
Mayor consumo de combustible: Debido al aumento de la resistencia al rodamiento.
Desgaste irregular: El neumático se gasta más en los bordes de la banda de rodamiento.
Riesgo de descontrol: El vehículo pierde estabilidad y tiene una respuesta más lenta en las curvas.
",,4,4,Hace que el vehículo tienda a torcer hacia un lado.,no,Mejora el rendimiento de combustible.,no,Hace sentir la dirección mas liviana.,no,Hace sentir la dirección mas pesada.,si,,,,
27,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"En un pavimento mojado, ¿Influye el estado de los neumáticos en la distancia de frenado de su vehículo?",Reventón y adherencia,,"Sí, influye de manera determinante. En pavimento mojado, el estado de los neumáticos es el factor que más afecta la distancia de frenado por las siguientes razones:
Evacuación de agua: Un neumático con surcos profundos (buen estado) puede desplazar el agua hacia los lados, manteniendo el contacto con el asfalto.
Adherencia: Un neumático desgastado o ""liso"" no logra romper la capa de agua, lo que provoca que el vehículo patine y la distancia necesaria para detenerse aumente drásticamente.
Aquaplaning: Si el estado es deficiente, el riesgo de que el auto ""flote"" sobre el agua (perdiendo total control de la dirección y frenos) es mucho mayor.

",,4,4,"No, la distancia de frenado depende de la velocidad.",no,"No, porque una vez que se acciona el freno la distancia de frenado es siempre la misma.",no,"Si, a mayor desgaste menor es la distancia.",no,"Si, porque el mayor o menor desgaste de los neumáticos, entre otros factores, determinara que  dicha distancia sea mayor o menor.",si,,,,
28,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿cual de las siguientes afirmaciones es(son) verdadera(S)?.- Multi respuesta.,Mantenimiento general,,  ,,4,"1, 2, 3, 4",Cuando el motor no esta siendo lubricado se enciende una luz en el panel de instrumentos en el vehículo.,si,Una batería mal cargada hace que el vehículo tenga dificultades para arrancar.,si,"Casi siempre, el motor se enfría con un liquido refrigerante que circula por canales en el bloque del motor",si,Una temperatura del motor demasiado alta puede deberse a que se haya roto la correa de la bomba de agua,si,,,,
29,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuales dos afirmaciones son verdaderas?.- Marque  dos,Emisiones y medio ambiente,, ,,4,"2, 3",Los gases de escape no son peligrosos para la salud de las personas.,no,Un sistema de escape de gases oxidado puede hacer que penetre monóxido de carbono al interior del vehículo.,si,"Los gases de escape contienen monóxido de carbono, que carece de olor y es incoloro.",si,Los vapores de la gasolina son inocuos.,no,,,,
30,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cual o cuales de las siguientes afirmaciones es (son) verdadera(S)?.- Marque la(S) correctas,Reventón y adherencia,, ,,4,3,Una profundidad de 1mm de los surcos de las bandas de rodamiento de los neumáticos es suficiente para asegurar una buena fricción con el pavimento.,no,Un desgaste notorio en la zona central de las bandas de rodamiento de los neumáticos indica que estos se han usado con muy poco aire.,no,Un desgaste irregular de los neumáticos puede deberse a problemas de alineamiento o de amortiguación..,si,"Independiente de la ubicación de las ruedas de tracción, para una mejor estabilidad los mejores neumáticos deben ir adelante.",no,,,,
31,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuales dos afirmaciones son verdaderas?.- Marque dos,Técnica de frenado,,  ,,5,"2, 4","A mayor velocidad, mayor es el consumo de liquido de frenos.",no,Los frenos anti bloqueo tienen la ventaja de impedir que las ruedas queden bloqueadas al frenar fuertemente.,si,El consumo de liquido de frenos depende de la cantidad e intensidad de las frenadas.,no,El liquido de freno no se consume y si disminuye es por que hay algún defecto.,si,Lo mejor es que el pedal de freno se sienta elástico.,no,,
32,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cual o cuales de las siguientes afirmaciones es(son) verdadera(S)?.- Marque la o las correctas,Protección de ocupantes,, ,,4,1,El cinturón de seguridad disminuye las posibilidades de sufrir lesiones en un accidente.,si,Los Airbags reemplazan al cinturón de seguridad.,no,Para quienes viajas en el asiento trasero de un automóvil el cinturón de seguridad no es obligatorio.,no,Usar cinturón de seguridad es mas necesario cuando se conduce en carreteras.,no,,,,
33,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿cual o cuales de las siguientes afirmaciones es(son) verdadera(S)?,Protección de ocupantes,, ,,4,"1, 2, 4",No es seguro que un adulto lleve a un niño pequeño incluyéndolo en su cinturón de seguridad,si,El cinturón de seguridad disminuye las posibilidades de resultar lesionado en un accidente.,si,Para quienes viajan en el asiento trasero el cinturón de seguridad no brinda mayor utilidad.,no,Un cinturón de seguridad bien tensado brindad mayor seguridad que uno menos tensado.,si,,,,
34,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Que elementos de su vehículo debe mantener limpios? .-Multi respuesta,Reventón y adherencia,,"Para garantizar la seguridad y la visibilidad, los elementos principales que siempre debes mantener limpios son:
Vidrios, cristales y espejos: Para asegurar una visión clara del entorno y de los demás vehículos.
Luces y focos: La suciedad en las micas puede reducir drásticamente la potencia de la iluminación y hacer que tu vehículo sea menos visible para los demás.
Placas patente: Deben estar siempre legibles para la identificación del vehículo por parte de las autoridades o en caso de accidentes.
Cámaras y sensores: Si tu vehículo cuenta con asistencias a la conducción (sensores de retroceso o cámaras), la suciedad puede provocar fallos en su funcionamiento.
",,4,"1, 2, 4",Las luces.,si,Los espejos.,si,Los neumáticos.,no,Los vidrios.,si,,,,
